residence_name,council_id
OSINONI,1914
SAMUNGE,1914
MUGONGO,1914
YASIMDITO,1914
MAGERI,1914
DIGODIGO,1914
KISANGIRO,1914
MUGHOLO,1914
TINAGA,1914
OLDONYOSAMBU,1914
JEMA,1914
SALE,1914
PINYINYI,1914
ENGARESERO,1914
MALAMBO,1914
MADUKANI,1914
KESILE,1914
PIYAYA,1914
SEA VIEW,2222
KIVUKONI,2222
KITONGA,2222
KIBASILA,2222
FIRE,2222
CHARAMBE,2222
MFAUME,2222
UKOMBOZI,2222
MNAZI MMOJA,2222
"MTAMBANI ""A""",2222
"MTAMBANI ""B""",2222
KARIAKOO KASKAZINI,2222
KARIAKOO MAGHARIBI,2222
KARIAKOO MASHARIKI,2222
KISUTU,2222
MTENDENI,2222
GEREZANI MASHARIKI,2222
GEREZANI MAGHARIBI,2222
MCHAFUKOGE,2222
KITUMBINI,2222
MISSION QUARTER,2222
ILALA KOTA,2222
MSIMBAZI BONDENI,2222
KARUME,2222
MAFURIKO,2222
S/SHAMBA,2222
KASULU,2222
AMANA,2222
MADENGE,2222
KISIWANI,2222
MALAPA,2222
MVINJENI,2222
MALUZUKU,2222
MJI MPYA,2222
FARU,2222
MNYAMANI,2222
TENGE,2222
MSIMBAZI,2222
MATUMBI,2222
MANDELA,2222
KISIWANI,2222
TABATA,2222
MTAMBANI,2222
MSIMBAZI MAGHARIBI,2222
MIEMBENI,2222
MTAKUJA,2222
MTAMBANI,2222
KOMBO,2222
BUTIAMA,2222
MAJENGO,2222
SEGEREA,2222
MGOMBANI,2222
UGOMBOLWA,2222
MFAUME,2222
MACHIMBO,2222
LIWITI,2222
MISEWE,2222
AMANI,2222
KIFURU,2222
KINYEREZI,2222
KWALIMBAGA,2222
KANGA,2222
KIBAGA,2222
KICHANGANI,2222
BONYOKWA,2222
KISIWANI,2222
MSINGWA,2222
KIMANGA,2222
DARAJANI,2222
TEMBO MGWAZO,2222
BANEBANE,2222
KIHIMBWA,2222
SOKOINE,2222
TWIGA,2222
LUHANGA,2222
KISUKULU,2222
MIANZINI,2222
KIPUNGUNI,2222
MOGO,2222
KARAKATA,2222
STAKISHARI,2222
UWANJA WA NDEGE,2222
MJIMPYA,2222
KIGILAGILA,2222
YOMBO,2222
KIWALANI,2222
MWALE,2222
MIGOMBANI,2222
MINAZI MIREFU,2222
TUNGUNI,2222
NGWALE,2222
LUKOONI,2222
YONGWE,2222
VIKONGORO,2222
NGUVU MPYA,2222
VIROBO,2222
KIDUGALO,2222
ZOGOALI,2222
NZASA,2222
ZINGIZIWA,2222
LUBAKAYA,2222
KIMWANI,2222
NGOBEDI,2222
SOMELO,2222
GOGO,2222
KICHANGANI,2222
MJI MPYA,2222
KIVULE,2222
RADA,2222
VIWEGE,2222
ZAVALA,2222
MGEULE,2222
NYEBURU,2222
KIGEZI,2222
KIGEZI CHINI,2222
MGEULE JUU,2222
TALIANI,2222
GONGO LA MBOTO,2222
GULUKA  KWALALA,2222
ULONGONI A,2222
ULONGONI B,2222
MWEMBE MADAFU,2222
SABASABA,2222
MAZIZINI,2222
MARKAZ,2222
MONGO LA NDEGE,2222
KINYAMWEZI,2222
BOMBANI,2222
"KIGOGO FRESH ""A""",2222
"KIGOGO FRESH ""B""",2222
MUSTAPHA,2222
BANGULO,2222
PUGU STATION,2222
KICHANGANI,2222
KIPERA,2222
KITUNDA,2222
RELINI,2222
KIYOMBO,2222
MWANAGATI,2222
MAGOLE,2222
MZINGA,2222
YANGE YANGE,2222
MBONDOLE,2222
MKERA,2222
SANGARA,2222
KIBOGA,2222
UWANJA WA NYANI,2222
KIDOLE,2222
KITONGA,2222
MVULENI,2222
KIVULE,2222
BOMBAMBILI,2222
KAREZANGE,2222
MAGORE A,2222
KIPUNGUNI B,2222
KITINYE,2222
MACHIMBO,2222
AMANI,2222
PAKACHA,2421
KWA TUMBO,2421
MKUNDUGE,2421
MTOGOLE,2421
MUHARITANI,2421
SOKONI,2421
"MIKOCHENI ""A""",2421
"MIKOCHENI ""B""",2421
REGENT ESTATE,2421
ALLY HASSAN MWINYI,2421
T. P. D. C,2421
DARAJANI,2421
HANANASIF,2421
KAWAWA,2421
"MKUNGUNI ""A""",2421
"MKUNGUNI ""B""",2421
KISUTU,2421
OYSTERBAY,2421
MASAKI,2421
MIKOROSHONI,2421
BONDE LA MPUNGA,2421
MAKANGIRA,2421
BWAWANI,2421
MWINJUMA,2421
MSOLOMI,2421
"MSISIRI ""A""",2421
"MSISIRI ""B""",2421
KAMBANGWA,2421
KWA KOPA,2421
MCHANGANI,2421
MBUYUNI,2421
MINAZINI,2421
KISIWANI,2421
SINGANO,2421
MAKUMBUSHO,2421
KIJITONYAMA,2421
"ALIMAUA ""A""",2421
BWAWANI,2421
"MPAKANI ""A""",2421
"MPAKANI ""B""",2421
MWENGE,2421
NZASA,2421
"ALIMAUA ""B""",2421
KUMBUKUMBU,2421
KINONDONI MJINI,2421
KINONDONI SHAMBA,2421
ADA ESTATE,2421
UKWAMANI,2421
MZIMUNI,2421
"MBEZI BEACH ""A""",2421
"MBEZI BEACH ""B""",2421
MAKONGO,2421
CHANGANYIKENI,2421
MBUYUNI,2421
MLALAKUWA,2421
MBEZI JUU,2421
MBEZI KATI,2421
MBEZI MTONI,2421
NDUMBWI,2421
JOGOO,2421
UNUNIO,2421
MTONGANI,2421
KILONGAWIMA,2421
TEGETA,2421
PWANI,2421
KONDO,2421
WAZO,2421
SALASALA,2421
KILIMAHEWA,2421
KILIMAHEWA JUU,2421
MADALE,2421
NAKASANGWE,2421
MIVUMONI,2421
KISANGA,2421
BOKO,2421
DOVYA,2421
"BUNJU ""A""",2421
MKOANI,2421
KILUNGULE,2421
BASIHAYA,2421
MABWEPANDE,2421
MJIMPYA,2421
"BUNJU ""B""",2421
KIHONZILE,2421
MBOPO,2421
"MAKUTI ""A""",2525
"MAKUTI ""B""",2525
IDRISA,2525
SUNA,2525
DOSSI,2525
NATIONAL HOUSING CORP.,2525
KIBO,2525
MSEWE,2525
KISIWANI,2525
CHUO KIKUU,2525
BARUTI,2525
KIMARA BARUTI,2525
MAVURUNZA,2525
"KILUNGULE ""A""",2525
"KILUNGULE ""B""",2525
GOLANI,2525
SARANGA,2525
UPENDO,2525
"KIMARA ""B""",2525
UKOMBOZI,2525
MJI MPYA,2525
MATANGINI,2525
STOPOVER,2525
"KING""ONGO",2525
MICHUNGWANI,2525
MAKOKA,2525
MWONGOZO,2525
KIBANGU,2525
MAKUBURI KIBANGU,2525
KAJIMA,2525
MTAMBANI,2525
MAKUMBUSHO,2525
MWINYIMKUU,2525
IDRISA,2525
AZIMIO,2525
